group_id,id,label
WijkenEnBuurten,WK023001,wijk 01 elburg
Wijken,WK023001,wijk 01 elburg
WijkenEnBuurten,BU06770101,hulst
WijkenEnBuurten,BU06770101,binnenstad
WijkenEnBuurten,BU06770101,binnenstad hulst
WijkenEnBuurten,WK016403,wijk 03 hasseler es
Wijken,WK016403,wijk 03 hasseler es
WijkenEnBuurten,WK070301,wijk 01 kruiningen
Wijken,WK070301,wijk 01 kruiningen
WijkenEnBuurten,BU17400006,verspreide huizen lede en oudewaard
WijkenEnBuurten,BU08280909,vorstengraf
WijkenEnBuurten,BU08556612,enschot oost
WijkenEnBuurten,BU00804003,julianapark
WijkenEnBuurten,BU00180207,woldwijck midden
WijkenEnBuurten,BU04201606,andijk grootslag en ijsselhof
WijkenEnBuurten,BU03750400,warande
WijkenEnBuurten,BU00900206,de wiken oost
WijkenEnBuurten,BU04847015,spoelwijk
RegioS,GM0454,venhuizen
WijkenEnBuurten,BU18960404,achter het singel
WijkenEnBuurten,BU16801109,verspreide huizen annerveenschekanaal
RegioS,GM0570,nieuwland
WijkenEnBuurten,BU01140106,siepelveen
WijkenEnBuurten,BU19212601,nijemirdum
WijkenEnBuurten,BU17240201,tiliaans weegbree e.o.
WijkenEnBuurten,BU17240201,rijt
WijkenEnBuurten,BU15070801,de comert
WijkenEnBuurten,BU01180511,kinholt
RegioS,GM1081,hillegersberg
Gebieden,GM1081,hillegersberg
WijkenEnBuurten,BU08650102,de baarzen
WijkenEnBuurten,GM1771,geldrop mierlo
RegioS,GM1771,geldrop mierlo
Wijken,GM1771,geldrop mierlo
WoonregioS,GM1771,geldrop mierlo
RegioVanVertrek,GM1771,geldrop mierlo
RegioIndeling2021,GM1771,geldrop mierlo
Regio,GM1771,geldrop mierlo
RegioS2007,GM1771,geldrop mierlo
WerkregioS,GM1771,geldrop mierlo
Woongemeente,GM1771,geldrop mierlo
RegioIndeling2018,GM1771,geldrop mierlo
Regiokenmerken,GM1771,geldrop mierlo
RegioVanVestiging,GM1771,geldrop mierlo
WijkenEnBuurten,BU05031604,hoflaan
WijkenEnBuurten,BU19000708,verspreide huizen gauw
WijkenEnBuurten,BU05180476,duinzigt
WijkenEnBuurten,BU04840101,gnephoek
WijkenEnBuurten,BU02940004,winterswijk zuidoost
WijkenEnBuurten,BU00820100,eesterga en follega
WijkenEnBuurten,BU04200809,wognum buitengebied
RegioS,GM0143,avereest
Gebieden,GM0143,avereest
WijkenEnBuurten,BU19480303,buitengebied boskant
WijkenEnBuurten,WK039221,meerwijk
Wijken,WK039221,meerwijk
WijkenEnBuurten,BU03130002,spakenburg
WijkenEnBuurten,WK048408,kerk en zanen
WijkenEnBuurten,WK048408,wijk 08 kerk en zanen
Wijken,WK048408,kerk en zanen
Wijken,WK048408,wijk 08 kerk en zanen
WijkenEnBuurten,BU06100307,rivierdijk oost
WijkenEnBuurten,WK011902,haveltermade
WijkenEnBuurten,WK011902,wijk 02 rogat
Wijken,WK011902,haveltermade
Wijken,WK011902,wijk 02 rogat
WijkenEnBuurten,BU07370101,oentsjerk
WijkenEnBuurten,BU00400203,steendam
WijkenEnBuurten,BU19240500,den bommel
WijkenEnBuurten,BU17350809,verspreide huizen zeldam
WijkenEnBuurten,BU02630200,hedel
WijkenEnBuurten,WK034005,wijk 05 randzone
Wijken,WK034005,wijk 05 randzone
WijkenEnBuurten,BU19001401,burgwerd
WijkenEnBuurten,WK192141,wijk 41 sint nicolaasga
WijkenEnBuurten,BU01140301,emmer erfscheidenveen
WijkenEnBuurten,BU19823301,maashees centrum
WijkenEnBuurten,BU05420002,kortland zuid
WijkenEnBuurten,BU0363EJ02,frederik hendrikbuurt zuidwest
WijkenEnBuurten,BU19260104,klapwijk
WijkenEnBuurten,BU03970000,centrum
WijkenEnBuurten,BU04410493,t rijpje en buitengebied
WijkenEnBuurten,BU04410493,'t rijpje en buitengebied
WijkenEnBuurten,WK177302,wijk 02 wijhe
Wijken,WK177302,wijk 02 wijhe
WijkenEnBuurten,WK008051,camminghaburen e.o.
WijkenEnBuurten,WK008051,wijk 51 wirdum & swichum
WijkenEnBuurten,WK008051,wijk 51 wirdum & swichum e.o.
Wijken,WK008051,camminghaburen e.o.
Wijken,WK008051,wijk 51 wirdum & swichum
Wijken,WK008051,wijk 51 wirdum & swichum e.o.
WijkenEnBuurten,BU16800400,anderen
WijkenEnBuurten,BU09951017,visvijverbos
WijkenEnBuurten,BU03750001,meerplein
WijkenEnBuurten,BU00740204,gersloot
WijkenEnBuurten,BU00030000,appingedam centrum
WijkenEnBuurten,BU00140801,hoogkerk zuid
WijkenEnBuurten,BU01750004,industrieterrein
WijkenEnBuurten,WK170002,wijk 02 westerhaar vriezenveensewijk
WijkenEnBuurten,WK170002,westerhaar vriezenveensewijk
Wijken,WK170002,wijk 02 westerhaar vriezenveensewijk
Wijken,WK170002,westerhaar vriezenveensewijk
WijkenEnBuurten,BU03880000,centrum vissersbuurt oosterhaven
WijkenEnBuurten,BU00590202,surhuizum
RegioS,GM0789,halsteren
WijkenEnBuurten,BU09831501,vierpaardjes
WijkenEnBuurten,BU00070008,verspr.h. ten zuidoosten van vriescheloo
WijkenEnBuurten,BU09070408,heijensebos
WijkenEnBuurten,BU07851120,hoogeind
WijkenEnBuurten,BU00341602,overig almere haven west
WijkenEnBuurten,BU03071401,randenbroekerweg
WijkenEnBuurten,BU03071401,componistenbuurt noord
WijkenEnBuurten,WK050503,wijk 03 oud krispijn
Wijken,WK050503,wijk 03 oud krispijn
WijkenEnBuurten,WK071518,buitengebied spui
WijkenEnBuurten,WK071518,wijk 18 lievenspolder
Wijken,WK071518,buitengebied spui
Wijken,WK071518,wijk 18 lievenspolder
WijkenEnBuurten,BU03830101,oranjebuurt
WijkenEnBuurten,BU00806207,koarnjum
WijkenEnBuurten,BU08552002,bomenbuurt midden
WijkenEnBuurten,BU00803003,rengerspark
WijkenEnBuurten,BU01185106,schutlanden west
WijkenEnBuurten,WK027301,wijk 01 bosgebied en krachtighuizen
Wijken,WK027301,wijk 01 bosgebied en krachtighuizen
WijkenEnBuurten,BU03620008,bankras
WijkenEnBuurten,BU19040102,bethunepolder zuid
WijkenEnBuurten,BU19040102,bloemstede en boomstede
WijkenEnBuurten,WK022211,wijk 11 buitengebied doetinchem
WijkenEnBuurten,WK022211,gaanderen
Wijken,WK022211,wijk 11 buitengebied doetinchem
Wijken,WK022211,gaanderen
WijkenEnBuurten,BU09171201,de dem en omgeving
WijkenEnBuurten,BU04530607,santhaesbuurt
WijkenEnBuurten,BU03630005,haarlemmerbuurt
WijkenEnBuurten,WK048915,wijk 15 waterkant
Wijken,WK048915,wijk 15 waterkant
WijkenEnBuurten,BU03750004,sint aagtendorp
WijkenEnBuurten,BU19591701,eethen
WijkenEnBuurten,BU19311002,benedenkerk
Regiokenmerken,MC31,oosterschelde regio
WijkenEnBuurten,BU03730703,catrijp
WijkenEnBuurten,BU05320204,zesstedenpark
WijkenEnBuurten,WK099509,stadshart
Wijken,WK099509,stadshart
WijkenEnBuurten,WK057502,wijk 02 noordwijkerhout
WijkenEnBuurten,WK057502,noordwijk buitengebied
Wijken,WK057502,wijk 02 noordwijkerhout
Wijken,WK057502,noordwijk buitengebied
WijkenEnBuurten,BU01530402,roombeek roomveldje
WijkenEnBuurten,BU19660603,winsum midden
WijkenEnBuurten,BU19660603,stitswerd
WijkenEnBuurten,BU19260231,buitengebied nootdorp
WijkenEnBuurten,WK022802,ede west
WijkenEnBuurten,WK022802,wijk 02 ede west
Wijken,WK022802,ede west
Wijken,WK022802,wijk 02 ede west
WijkenEnBuurten,BU06770203,gedelfte
WijkenEnBuurten,BU08553813,bokhamer
WijkenEnBuurten,BU05051101,palissander en omgeving
WijkenEnBuurten,BU01710943,espel landelijk gebied
WijkenEnBuurten,BU02670302,holkerveen
WijkenEnBuurten,BU16510309,overige verspreide huizen
WijkenEnBuurten,WK008041,nijlân & de zwette
WijkenEnBuurten,WK008041,wijk 41 schepenbuurt
Wijken,WK008041,nijlân & de zwette
Wijken,WK008041,wijk 41 schepenbuurt
WijkenEnBuurten,BU01830302,geesteren zuid
WijkenEnBuurten,BU19790735,godlinze
WijkenEnBuurten,BU01400007,reahûs
WijkenEnBuurten,BU08555101,heerevelden west
WijkenEnBuurten,BU04200107,medemblik bedrijventerrein
Gebieden,NL10G3,nederland;   1.001     2.000 inwoners
WijkenEnBuurten,BU01411909,nijrees
WijkenEnBuurten,BU15980106,reigerlaan obdam en omgeving
WijkenEnBuurten,BU09710000,oud stein
WijkenEnBuurten,BU02022197,elderhof
WijkenEnBuurten,BU02001303,bosgebied loenen
WijkenEnBuurten,BU17350000,centrum goor
WijkenEnBuurten,BU08553810,vijverlaan
WijkenEnBuurten,BU17340903,omg. binnenstraat stenenkamerstraat
WijkenEnBuurten,BU19480312,heikant en sluitappel
WijkenEnBuurten,BU01960109,verspreide huizen lobberdense waard
RegioS,GM1015,baardwijk
WijkenEnBuurten,BU05990118,nieuwe werk
WijkenEnBuurten,BU03940551,badhoevedorp omgeving
WijkenEnBuurten,BU07860752,oud velp
WijkenEnBuurten,BU00805202,buitengebied wytgaard
RegioS,GM0154,genemuiden
WijkenEnBuurten,BU07721336,karpen
WijkenEnBuurten,BU15251406,centrum
WijkenEnBuurten,BU07660103,west 2
WijkenEnBuurten,WK170808,sint jansklooster
WijkenEnBuurten,WK170808,wijk 08 sint jansklooster
Wijken,WK170808,sint jansklooster
Wijken,WK170808,wijk 08 sint jansklooster
WijkenEnBuurten,BU19401905,"joure, sewei/de ekers"
WijkenEnBuurten,BU04847004,laag boskoop
WijkenEnBuurten,WK174209,wijk 09 stadsrand rijssen noord
Wijken,WK174209,wijk 09 stadsrand rijssen noord
WijkenEnBuurten,BU17230601,bavel ac
WijkenEnBuurten,WK173002,wijk 02 zuidlaarderveen
Wijken,WK173002,wijk 02 zuidlaarderveen
RegioS,A028758,overige grote gemeenten >= 100 000 inw.
RegioS,A028758,meer dan 100 000 inwoners
Regiokenmerken,A028758,overige grote gemeenten >= 100 000 inw.
Regiokenmerken,A028758,meer dan 100 000 inwoners
WijkenEnBuurten,BU03450222,gezonken hoek
WijkenEnBuurten,BU06130706,distripark
WijkenEnBuurten,BU00344502,bouwmeesterbuurt oost
WijkenEnBuurten,BU19800306,buitengebied zuid scharwoude
RegioS,VT03,flevoland
WijkenEnBuurten,BU19030001,mariadorp beezepool
WijkenEnBuurten,BU04820302,middelland
WijkenEnBuurten,BU04820302,kinderdijk nieuwe bebouwing
WijkenEnBuurten,BU04020506,egelshoek
WijkenEnBuurten,WK074401,wijk 01 ulicoten
WijkenEnBuurten,WK074401,baarle nassau
Wijken,WK074401,wijk 01 ulicoten
Wijken,WK074401,baarle nassau
WijkenEnBuurten,BU09710102,catsop
WijkenEnBuurten,BU01040202,scharl
WijkenEnBuurten,BU19920400,hout hoeffe
WijkenEnBuurten,WK021406,wijk 06 ravenswaaij
Wijken,WK021406,wijk 06 ravenswaaij
WijkenEnBuurten,BU02140101,zoelmond
WijkenEnBuurten,BU17080400,kuinre
RegioS,GM1399,zevender
WijkenEnBuurten,BU07721115,tu terrein
WijkenEnBuurten,WK005105,wijk 05
WijkenEnBuurten,WK053103,wijk 03 de volgerlanden
Wijken,WK053103,wijk 03 de volgerlanden
WijkenEnBuurten,BU17190000,made
WijkenEnBuurten,WK077221,oud stratum
Wijken,WK077221,oud stratum
WijkenEnBuurten,BU00900017,vrijburg
WijkenEnBuurten,BU00806202,sonnenborgh
WijkenEnBuurten,BU00806202,snakkerburen
WijkenEnBuurten,WK020212,burgemeesterswijk/hoogkamp
WijkenEnBuurten,WK020212,wijk 12 burgemeesterswijk en hoogkamp
Wijken,WK020212,burgemeesterswijk/hoogkamp
Wijken,WK020212,wijk 12 burgemeesterswijk en hoogkamp
WijkenEnBuurten,BU02330007,verspreide huizen telgt
WijkenEnBuurten,BU19001301,pingjum
WijkenEnBuurten,BU03630661,ijplein/vogelbuurt
WijkenEnBuurten,BU03270102,rozenboom
WijkenEnBuurten,BU01140800,klazienaveen noord
WijkenEnBuurten,BU05181894,waldeck noord
WijkenEnBuurten,BU17310700,bovensmilde centrum
WijkenEnBuurten,BU07721312,lakerlopen
WijkenEnBuurten,BU15860111,flierbeek
WijkenEnBuurten,WK173509,wijk 09 bentelo
Wijken,WK173509,wijk 09 bentelo
WijkenEnBuurten,BU17000502,verspreide huizen vriezenveen noord
WijkenEnBuurten,BU19495200,wier
WijkenEnBuurten,BU04980307,"drieban , hem"
WijkenEnBuurten,BU05301003,poldergebied nieuwenhoorn
WijkenEnBuurten,BU04795110,wormerveer zuid
WijkenEnBuurten,BU02220303,schöneveld noord
WijkenEnBuurten,BU02220303,schöneveld   noord
WijkenEnBuurten,BU0363AF06,uilenburg
WijkenEnBuurten,BU0363EV02,vondelparkbuurt oost
WijkenEnBuurten,BU03212054,de staart
WijkenEnBuurten,BU03170216,heidehoek
WijkenEnBuurten,WK055602,wijk 02 dijkpolder
Wijken,WK055602,wijk 02 dijkpolder
WijkenEnBuurten,BU00810101,cornjum
WijkenEnBuurten,BU01530004,hogeland noord
WijkenEnBuurten,BU00820001,lemmer kom
WijkenEnBuurten,BU06875069,de lage landen
WijkenEnBuurten,WK177310,wijk 10 marle
Wijken,WK177310,wijk 10 marle
WijkenEnBuurten,WK045135,wijk 35 zijdelwaard
Wijken,WK045135,wijk 35 zijdelwaard
WijkenEnBuurten,BU08280402,mettegeupel
WijkenEnBuurten,BU16901101,haakswold
WijkenEnBuurten,BU18910301,sibrandahûs
RegioS,GA07,nijmegen
RegioVanVertrek,GA07,nijmegen
RegioS2007,GA07,nijmegen
WijkenEnBuurten,BU04390302,wheermolen oost
WijkenEnBuurten,BU03840501,campus diemen zuid
WijkenEnBuurten,BU02284033,lunterse veld
WijkenEnBuurten,WK169000,wijk 00 zuidwolde
Wijken,WK169000,wijk 00 zuidwolde
WijkenEnBuurten,BU16800000,annen
WijkenEnBuurten,WK170115,wijk 15 wilhelminaoord
Wijken,WK170115,wijk 15 wilhelminaoord
WijkenEnBuurten,BU01660016,polder dronthen
WijkenEnBuurten,WK194031,wijk 31 oudemirdum
Wijken,WK194031,wijk 31 oudemirdum
WijkenEnBuurten,BU03634602,willemsparkbuurt noord
RegioS,GM1353,oost souburg
WijkenEnBuurten,GM0304,neerijnen
RegioS,GM0304,neerijnen
WoonregioS,GM0304,neerijnen
RegioVanVertrek,GM0304,neerijnen
Regio,GM0304,neerijnen
RegioS2007,GM0304,neerijnen
WerkregioS,GM0304,neerijnen
Woongemeente,GM0304,neerijnen
RegioIndeling2018,GM0304,neerijnen
Regiokenmerken,GM0304,neerijnen
RegioVanVestiging,GM0304,neerijnen
WijkenEnBuurten,BU19010834,laageind
WijkenEnBuurten,BU19001902,sibrandabuorren
WijkenEnBuurten,BU05180908,geuzenkwartier
WijkenEnBuurten,BU00070109,verspreide huizen veelerveen
WijkenEnBuurten,BU0363KN02,beatrixpark
Gebieden,PV27G4,noordholland;   2.001     5.000 inwoners
WijkenEnBuurten,BU00180606,kropswolde
WijkenEnBuurten,BU05790102,oranje nassau
WijkenEnBuurten,BU19110101,terdiek
WijkenEnBuurten,BU19110101,kleine sluis
WijkenEnBuurten,BU17110523,de loop
WijkenEnBuurten,BU08555705,koolhoven oost
WijkenEnBuurten,BU02670203,appel
WijkenEnBuurten,BU02670203,appel/'t woud
WijkenEnBuurten,BU01830500,vasse kern
WijkenEnBuurten,BU01770108,de vloedkampen
WijkenEnBuurten,BU03072600,dorpskern hooglanderveen
WijkenEnBuurten,BU03072600,dorpskern
WijkenEnBuurten,WK044800,wijk 00 het oude land en duingebied
Wijken,WK044800,wijk 00 het oude land en duingebied
WijkenEnBuurten,BU03580201,greenpark
WijkenEnBuurten,BU03580201,zuidwestpolder
WijkenEnBuurten,BU16410001,brachterbeek
RegioS,LB2602,westelijk weidegebied in utrecht
WijkenEnBuurten,BU19540505,hommert
WijkenEnBuurten,BU02410003,groesbeek de drul
WijkenEnBuurten,BU00900901,de bouwen noord
WijkenEnBuurten,WK196118,amaliastein
Wijken,WK196118,amaliastein
WijkenEnBuurten,BU17341802,vogelbuurt
WijkenEnBuurten,BU19160601,amstelwijk
WijkenEnBuurten,BU19160601,verzetsheldenwijk
WijkenEnBuurten,WK036338,erasmuspark
WijkenEnBuurten,BU19010209,dronenwijk noord
WijkenEnBuurten,BU01890406,verspreide huizen waterhoek
WijkenEnBuurten,BU18950809,verspreide huizen
WijkenEnBuurten,BU08260800,industrieterrein vijf eiken
RegioS,TR07,utrechtse heuvelrug en 't gooi
WijkenEnBuurten,BU18920411,dorrestein noord
WijkenEnBuurten,BU18920411,dorrestein
WijkenEnBuurten,BU02990100,babberich
WijkenEnBuurten,WK018905,wijk 05 rectum   notter   zuna
Wijken,WK018905,wijk 05 rectum   notter   zuna
WijkenEnBuurten,WK034203,wijk 03 boerenstreek
Wijken,WK034203,wijk 03 boerenstreek
WijkenEnBuurten,WK004701,wijk 01 veendam buitengebied
Wijken,WK004701,wijk 01 veendam buitengebied
WijkenEnBuurten,BU01480607,schanebroek 2 en wolthaarshoek
WijkenEnBuurten,BU00808117,buitengebied easterlittens
WijkenEnBuurten,BU00140110,peizerweg
WijkenEnBuurten,BU06110003,schuring
WijkenEnBuurten,BU00851114,oosterwolde iris
WijkenEnBuurten,BU07840204,steenakkers
WijkenEnBuurten,BU02220701,buitengebied dichteren noordwest
WijkenEnBuurten,BU19002003,hinnaard
WijkenEnBuurten,BU01500700,het oostrik
WijkenEnBuurten,WK195219,noordbroek
Wijken,WK195219,noordbroek
CaribischNederland,CN01,caribisch nederland
WijkenEnBuurten,WK077242,erp
Wijken,WK077242,erp
WijkenEnBuurten,BU07030202,krabbendijke   rozeboom
WijkenEnBuurten,BU19540501,puth
WijkenEnBuurten,WK173110,wijk 10 elp
Wijken,WK173110,wijk 10 elp
WijkenEnBuurten,BU07726399,meerrijk
WijkenEnBuurten,BU19495400,buitengebied wjelsryp
WijkenEnBuurten,BU02730004,putten stationsstraat industriegebied
WijkenEnBuurten,BU19111801,zijdewind
WijkenEnBuurten,WK015804,wijk 04 rietmolen
Wijken,WK015804,wijk 04 rietmolen
WijkenEnBuurten,BU05051011,de hoven
WijkenEnBuurten,BU04890921,nieuweland 4
WijkenEnBuurten,BU19480301,armenhoef
RegioS,GM0528,heinenoord
WijkenEnBuurten,BU04410402,sint maartensbrug
WijkenEnBuurten,BU04410402,stroet
WijkenEnBuurten,BU04320205,spanbroekerweg kern
Gebieden,PV21G6,friesland;  10.001    20.000 inwoners
WijkenEnBuurten,BU02020104,stationsplein
WijkenEnBuurten,BU17350200,markelo
WijkenEnBuurten,BU02250108,tichellande
WijkenEnBuurten,BU0363KD05,museumplein
WijkenEnBuurten,WK192139,wijk 39 ruigahuizen
WijkenEnBuurten,BU03080501,verspreide huizen lage vuursche
WijkenEnBuurten,BU04051204,buurt 12 04
WijkenEnBuurten,BU04051204,hoorn noord   buurt 12 04
WijkenEnBuurten,BU04890308,binnenland
WijkenEnBuurten,BU03840305,schelpenhoek
WijkenEnBuurten,BU19492805,franeker industrieter. west en kie
WijkenEnBuurten,GM0081,leeuwarderadeel
RegioS,GM0081,leeuwarderadeel
Gebieden,GM0081,leeuwarderadeel
WoonregioS,GM0081,leeuwarderadeel
RegioVanVertrek,GM0081,leeuwarderadeel
Regio,GM0081,leeuwarderadeel
RegioS2007,GM0081,leeuwarderadeel
WerkregioS,GM0081,leeuwarderadeel
Woongemeente,GM0081,leeuwarderadeel
Regiokenmerken,GM0081,leeuwarderadeel
RegioVanVestiging,GM0081,leeuwarderadeel
WijkenEnBuurten,BU00900703,de folgeren centrum
WijkenEnBuurten,BU17210118,de hoef 2
WijkenEnBuurten,BU05750003,dobbelmannduin
WijkenEnBuurten,WK035611,wijk 11 hoogzandveld
WijkenEnBuurten,WK035611,hoogzandveld
Wijken,WK035611,wijk 11 hoogzandveld
Wijken,WK035611,hoogzandveld
WijkenEnBuurten,BU19402801,oosterzee buitengebied
WijkenEnBuurten,BU01770200,heeten kern
WijkenEnBuurten,BU00861302,siegerswoude buitengebied
WijkenEnBuurten,WK164010,grathem
Wijken,WK164010,grathem
WijkenEnBuurten,BU18590011,noord
WijkenEnBuurten,BU03440231,julianapark en omgeving
WijkenEnBuurten,GM0226,duiven
RegioS,GM0226,duiven
Wijken,GM0226,duiven
WoonregioS,GM0226,duiven
RegioVanVertrek,GM0226,duiven
RegioIndeling2021,GM0226,duiven
Regio,GM0226,duiven
RegioS2007,GM0226,duiven
WerkregioS,GM0226,duiven
Woongemeente,GM0226,duiven
RegioIndeling2018,GM0226,duiven
Regiokenmerken,GM0226,duiven
RegioVanVestiging,GM0226,duiven
WijkenEnBuurten,BU17000303,buurtschap linde
WijkenEnBuurten,BU03550307,couwenhoven
WijkenEnBuurten,BU03550307,blikkenburg en omgeving
WijkenEnBuurten,WK040606,wijk 06 zenderwijk en bovenweg
Wijken,WK040606,wijk 06 zenderwijk en bovenweg
WijkenEnBuurten,BU01400005,lytsewierrum
WijkenEnBuurten,BU09831601,kern 't ven
WijkenEnBuurten,BU19802004,de frans
WijkenEnBuurten,BU03942121,penningsveer
WijkenEnBuurten,BU17110415,kokkelert
WijkenEnBuurten,BU02360106,gellicum e.o.
WijkenEnBuurten,BU02360106,verspreide huizen gellicum
WijkenEnBuurten,BU03550302,nijenheim
WijkenEnBuurten,BU00900006,de venen
WijkenEnBuurten,WK194016,wijk 16 harich
Wijken,WK194016,wijk 16 harich
RegioS,GM1349,nieuwveen in delfland
RegioS,LB2004,westerwolde en gron. veenkoloniën
WijkenEnBuurten,BU03638203,zuidwestkwadrant osdorp zuid
WijkenEnBuurten,BU17741611,eertman
WijkenEnBuurten,BU03070108,schimmelpenninckstraat
WijkenEnBuurten,BU03070108,schimmelpenninckbuurt
WijkenEnBuurten,BU02220603,de huet   fase 2
WijkenEnBuurten,BU02220603,de huet fase 2
WijkenEnBuurten,BU03610202,oudorp centrum
WijkenEnBuurten,BU07790100,raamsdonk
WijkenEnBuurten,BU06890308,verspr.h. polder giessen en nieuwkerk
WijkenEnBuurten,WK037510,broekpolder
Wijken,WK037510,broekpolder
WijkenEnBuurten,BU01411402,kerkelanden
WijkenEnBuurten,BU17230208,verspreide huizen galder
WijkenEnBuurten,BU03630801,sarphatistrook
WijkenEnBuurten,WK036202,patrimonium
Wijken,WK036202,patrimonium
WijkenEnBuurten,BU03840219,buitenlust
WijkenEnBuurten,BU19420202,godelindebuurt
WijkenEnBuurten,BU01970305,aalten kern 't kobus
WijkenEnBuurten,BU16811509,verspreide huizen tweede exloërmond
WijkenEnBuurten,WK185901,wijk 01 eibergen
Wijken,WK185901,wijk 01 eibergen
WijkenEnBuurten,BU07580100,belcrum
WijkenEnBuurten,WK036310,westelijk havengebied
WijkenEnBuurten,WK036310,stadsdeel slotervaart en overtoomse veld
WijkenEnBuurten,BU07721230,puttense dreef
WijkenEnBuurten,BU05050608,2e merwedehaven en omgeving
WijkenEnBuurten,BU07480302,schelde vesting
WijkenEnBuurten,BU07480302,bergse haven
WijkenEnBuurten,BU03638702,delflandpleinbuurt oost
WijkenEnBuurten,BU08880100,geverik
WijkenEnBuurten,BU01500105,singel
WijkenEnBuurten,BU01500105,schrijversbuurt
WijkenEnBuurten,WK051302,de korte akkeren
WijkenEnBuurten,WK051302,wijk 02 de korte akkeren
Wijken,WK051302,de korte akkeren
Wijken,WK051302,wijk 02 de korte akkeren
WijkenEnBuurten,WK190301,wijk 01 gronsveld
Wijken,WK190301,wijk 01 gronsveld
WijkenEnBuurten,BU04840504,hazeveld
WijkenEnBuurten,WK036344,hoofddorppleinbuurt
WijkenEnBuurten,BU02360300,buurmalsen
WijkenEnBuurten,BU03080201,pr. hendrikpark
WijkenEnBuurten,BU05050304,jacob marisstraat en omgeving
WijkenEnBuurten,BU01411405,aalderinkshoek noordwest
WijkenEnBuurten,BU09070109,looierheide
WijkenEnBuurten,BU17220109,verspreide huizen hallum
WijkenEnBuurten,BU03072300,park schothorst zuid
WijkenEnBuurten,BU02220712,wijnbergen het oosten
WijkenEnBuurten,BU02220712,wijnbergen   de kwekerij
WijkenEnBuurten,BU17110419,verspreide huizen roosteren
WijkenEnBuurten,BU03730200,bergen aan zee
WijkenEnBuurten,WK172802,wijk 02 hapert
Wijken,WK172802,wijk 02 hapert
WijkenEnBuurten,BU05051906,krabbegors
WijkenEnBuurten,BU05181983,eykenduinen
